2017-07-25 15:19:07 - [INFO] --> Logowanie użytkownika: [dostawy]
2017-07-25 15:20:59 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/96/2017],  Nazwa urządzenia: [BNA], ID urządzenia: [7], Ilość: [1]
2017-07-25 15:20:59 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/96/2017],  Nazwa urządzenia: [BNA], ID urządzenia: [7], Ilość: [1]
2017-07-25 15:20:59 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/96/2017],  Nazwa urządzenia: [Czytnik UX300], ID urządzenia: [161], Ilość: [1]
2017-07-25 15:20:59 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/96/2017],  Nazwa urządzenia: [Bateria backup], ID urządzenia: [146], Ilość: [11]
2017-07-25 15:20:59 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/96/2017],  Nazwa urządzenia: [Zasilacz], ID urządzenia: [43], Ilość: [1]
2017-07-25 15:20:59 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/96/2017],  Nazwa urządzenia: [Zasilacz], ID urządzenia: [43], Ilość: [1]
2017-07-25 15:20:59 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/96/2017],  Nazwa urządzenia: [Zasilacz], ID urządzenia: [43], Ilość: [1]
2017-07-25 15:21:13 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-07-25 15:21:19 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/96/2017],  Nazwa urządzenia: [Zasilacz], ID urządzenia: [7], Ilość: [2]
2017-07-25 15:21:19 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/96/2017],  Nazwa urządzenia: [Zasilacz], ID urządzenia: [43], Ilość: [3]
2017-07-25 15:21:19 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/96/2017],  Nazwa urządzenia: [Zasilacz], ID urządzenia: [146], Ilość: [11]
2017-07-25 15:21:19 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/96/2017],  Nazwa urządzenia: [Zasilacz], ID urządzenia: [161], Ilość: [1]
