2017-05-01 9:26:15 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67494], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2332], Nr automatu: [5300]
2017-05-01 9:26:15 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67495], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2546], Nr automatu: [5085]
2017-05-01 9:26:15 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67496], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2807], Nr automatu: [5472]
2017-05-01 9:26:15 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67497], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5401], Nr automatu: [5187]
2017-05-01 9:26:15 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67499], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7322], Nr automatu: [5428]
2017-05-01 9:26:15 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67500], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8039], Nr automatu: [5500]
2017-05-01 9:26:15 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67501], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8061], Nr automatu: [5620]
2017-05-01 9:28:04 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67480], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2204], Nr automatu: [5099]
2017-05-01 9:28:04 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67481], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2274], Nr automatu: [5147]
2017-05-01 9:28:05 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67482], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2391], Nr automatu: [5350]
2017-05-01 9:28:05 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67483], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2534], Nr automatu: [5403]
2017-05-01 9:28:05 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67484], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2355], Nr automatu: [5324]
2017-05-01 9:28:05 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67485], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2608], Nr automatu: [5258]
2017-05-01 9:28:05 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67486], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2701], Nr automatu: [5266]
2017-05-01 9:28:05 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67487], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2717], Nr automatu: [5752]
2017-05-01 9:28:05 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67488], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2722], Nr automatu: [5826]
2017-05-01 9:28:05 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67489], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3116], Nr automatu: [5791]
2017-05-01 9:28:05 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67490], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4612], Nr automatu: [5167]
2017-05-01 9:28:05 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67491], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4629], Nr automatu: [5731]
2017-05-01 9:28:05 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67492], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4630], Nr automatu: [5735]
2017-05-01 9:31:55 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67171], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5404], Nr automatu: [5734]
2017-05-01 9:31:55 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67172], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8055], Nr automatu: [5614]
2017-05-01 9:38:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67136], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2565], Nr automatu: [5251]
2017-05-01 9:38:49 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67137], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3204], Nr automatu: [5025]
2017-05-01 9:38:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67138], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3205], Nr automatu: [5347]
2017-05-01 9:38:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67139], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3208], Nr automatu: [5120]
2017-05-01 9:38:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67140], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2309], Nr automatu: [5174]
2017-05-01 9:38:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67141], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2411], Nr automatu: [5366]
2017-05-01 9:38:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67142], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2452], Nr automatu: [5183]
2017-05-01 9:38:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67143], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2705], Nr automatu: [5270]
2017-05-01 9:38:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67144], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2720], Nr automatu: [5824]
2017-05-01 9:38:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67145], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3014], Nr automatu: [5295]
2017-05-01 9:38:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67146], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3114], Nr automatu: [5787]
2017-05-01 9:38:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67147], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3119], Nr automatu: [5798]
2017-05-01 9:38:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67148], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3123], Nr automatu: [5805]
2017-05-01 9:38:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67149], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [3125], Nr automatu: [5809]
2017-05-01 9:38:50 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67150], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4603], Nr automatu: [5063]
2017-05-01 9:38:51 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67151], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [4610], Nr automatu: [5128]
2017-05-01 9:39:33 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67498], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7022], Nr automatu: [5590]
2017-05-01 9:39:33 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [67502], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8081], Nr automatu: [5640]
2017-05-01 9:40:00 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/926/2017], ID dokumentu: [4559], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [Papier paragonowy], ID urządzenia: [128], Ilość: [1]
2017-05-01 9:40:00 - [INFO] --> Typ dokumentu: [transfer wydany], Nazwa dokumentu: [WRO/WYD/926/2017], ID dokumentu: [4559], Nazwa serisanta: [Cezary Skwarzyński], ID serwisanta: [10], Nazwa urządzenia: [Papier stacjonarny], ID urządzenia: [130], Ilość: [3]
