2017-03-03 15:14:23 - [INFO] --> Logowanie użytkownika: [dostawy]
2017-03-03 15:17:04 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/42/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-03-03 15:17:04 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/42/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-03-03 15:17:04 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/42/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-03-03 15:17:04 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/42/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-03-03 15:17:04 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/42/2017],  Nazwa urządzenia: [Drukarka Edmonson duża BTVM-1], ID urządzenia: [148], Ilość: [1]
2017-03-03 15:17:05 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/42/2017],  Nazwa urządzenia: [BNA], ID urządzenia: [7], Ilość: [1]
2017-03-03 15:17:05 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/42/2017],  Nazwa urządzenia: [BNA], ID urządzenia: [7], Ilość: [1]
2017-03-03 15:17:05 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/42/2017],  Nazwa urządzenia: [akceptor ( wlot )], ID urządzenia: [1], Ilość: [1]
2017-03-03 15:17:05 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/42/2017],  Nazwa urządzenia: [drukarka (Thino)], ID urządzenia: [17], Ilość: [1]
2017-03-03 15:17:05 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/42/2017],  Nazwa urządzenia: [Plastikowa osłona anteny MIFARE], ID urządzenia: [139], Ilość: [1]
2017-03-03 15:17:20 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-03-03 15:17:52 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/42/2017],  Nazwa urządzenia: [Plastikowa osłona anteny MIFARE], ID urządzenia: [1], Ilość: [1]
2017-03-03 15:17:53 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/42/2017],  Nazwa urządzenia: [Plastikowa osłona anteny MIFARE], ID urządzenia: [7], Ilość: [2]
2017-03-03 15:17:53 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/42/2017],  Nazwa urządzenia: [Plastikowa osłona anteny MIFARE], ID urządzenia: [17], Ilość: [1]
2017-03-03 15:17:53 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/42/2017],  Nazwa urządzenia: [Plastikowa osłona anteny MIFARE], ID urządzenia: [139], Ilość: [1]
2017-03-03 15:17:53 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/42/2017],  Nazwa urządzenia: [Plastikowa osłona anteny MIFARE], ID urządzenia: [148], Ilość: [5]
