2017-01-13 19:34:24 - [INFO] --> Logowanie użytkownika: [dostawy]
2017-01-13 19:37:12 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/20/2017],  Nazwa urządzenia: [BNA], ID urządzenia: [7], Ilość: [1]
2017-01-13 19:37:12 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/20/2017],  Nazwa urządzenia: [BNA], ID urządzenia: [7], Ilość: [1]
2017-01-13 19:37:12 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/20/2017],  Nazwa urządzenia: [BNA], ID urządzenia: [7], Ilość: [1]
2017-01-13 19:37:12 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/20/2017],  Nazwa urządzenia: [walidator (NRI)], ID urządzenia: [42], Ilość: [1]
2017-01-13 19:37:12 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/20/2017],  Nazwa urządzenia: [drukarka (Thino)], ID urządzenia: [17], Ilość: [1]
2017-01-13 19:37:12 - [INFO] --> Typ dokumentu: [Dostawa części (do zatwierdzenia)], Nazwa dokumentu:  [WAR/N/20/2017],  Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [149], Ilość: [250]
2017-01-13 19:37:25 - [INFO] --> Logowanie użytkownika: [ktomaszewski]
2017-01-13 19:39:40 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/20/2017],  Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [7], Ilość: [3]
2017-01-13 19:39:40 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/20/2017],  Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [17], Ilość: [1]
2017-01-13 19:39:40 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/20/2017],  Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [42], Ilość: [1]
2017-01-13 19:39:40 - [INFO] --> Typ dokumentu: [Dostawa części (zatwierdzona)], Nazwa dokumentu:  [WAR/N/20/2017],  Nazwa urządzenia: [PAPIER Edmonson stacjonarne], ID urządzenia: [149], Ilość: [250]
