2017-05-12 9:17:32 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [72980], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2240], Nr automatu: [5005]
2017-05-12 9:17:32 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [72981], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2523], Nr automatu: [5070]
2017-05-12 9:17:32 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [72982], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2549], Nr automatu: [5088]
2017-05-12 9:17:32 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [72983], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2564], Nr automatu: [5250]
2017-05-12 9:17:32 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [72984], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [5417], Nr automatu: [5405]
2017-05-12 9:17:32 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [72985], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [7304], Nr automatu: [5410]
2017-05-12 9:17:32 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [72986], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8086], Nr automatu: [5645]
2017-05-12 9:17:32 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [72988], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8301], Nr automatu: [5508]
2017-05-12 9:17:32 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [72989], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8109], Nr automatu: [5668]
2017-05-12 9:22:26 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [72987], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [8126], Nr automatu: [5684]
2017-05-12 9:24:26 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [72945], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2603], Nr automatu: [5255]
2017-05-12 9:24:26 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [72946], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2610], Nr automatu: [5260]
2017-05-12 9:26:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [72936], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2259], Nr automatu: [5140]
2017-05-12 9:26:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [72937], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2260], Nr automatu: [5216]
2017-05-12 9:26:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [72939], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2271], Nr automatu: [5144]
2017-05-12 9:26:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [72940], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2275], Nr automatu: [5148]
2017-05-12 9:26:31 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [72941], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2333], Nr automatu: [5235]
2017-05-12 9:26:32 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [72942], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2465], Nr automatu: [5396]
2017-05-12 9:26:32 - [INFO] --> Zmiana danych pojazdu w zgłoszeniu serwisowym nr: [72943], przez uzytkownika: [kjasinski], Nr boczny pojazdu: [2533], Nr automatu: [5404]
